Category Name,Topic Name,Tag,Genre,Level,Type,Question,Option1,Option2,Option3,Option4,CorrectAnswer
Entertainment,Movies,Basic,All,easy,mcq,Aishwarya Rai was crowned Miss World in which year?,A. 1993, B. 1994,C. 1995,D. 1996,B. 1994
Entertainment,Movies,Basic,All,medium,mcq,What are John Abraham and Akshay Kumar's professions in Garam Masala?,A. Reporter,B. Photographers ,C. Professors ,D. Lawyers,B. Photographers
Entertainment,Movies,Basic,All,hard,mcq,From where does Veeru propose to Basanti in Sholay?,A. Top of a roo,B. Top of a ladder ,C. Top of a hill,D. Top of a water tank,D. Top of a water tank
Entertainment,Movies,Basic,All,easy,mcq,"Who, apart from Aamir Khan, wants to marry Preity Zinta in Dil Chahta Hai?",A. Shah Rukh Khan ,B. Ayub Khan ,C. Saif Ali Khan,D. Akshaye Khanna,B. Ayub Khan 
Entertainment,Movies,Basic,All,medium,mcq,What is Shah Rukh's mantra to woo a girl in Kal Ho Naa Ho?,A. Saat din ladki in,B. Ek din ladki in ,C. Che din ladki in ,D. Do din ladki in,C. Che din ladki in 
Entertainment,Movies,Basic,All,hard,mcq,"The catch-line 'American dream, Indian soul' was of the film...?",A. Aa Ab Laut Chalein,B. Indian ,C. Pardes ,D. American Desi,C. Pardes 
Entertainment,Movies,Basic,All,easy,mcq,Which of these films was Ashutosh Gowariker's directorial debut?,A. Pehla Nasha ,B. Swades,C. Afsana Pyaar Ka ,D. Jung,A. Pehla Nasha 
Entertainment,Movies,Basic,All,medium,mcq,Lata Mangeshkar was awarded the Padma Bhushan in which year?,A. 1959 ,B. 1969 ,C. 1979 ,D. 1989,B. 1969 
Entertainment,Movies,Basic,All,hard,mcq,Which of these actors has never appeared in television advertisements?,A. Govinda ,B. Shah Rukh Khan ,C. Anil Kapoor ,D. Hrithik Roshan,C. Anil Kapoor 
Entertainment,Movies,Basic,All,easy,mcq,Raj Kapoor-Nargis starrer 'Chori Chori' was inspired from which Hollywood classic?,A. Titanic,B. Blithe Spirit ,C. It Happened One Night ,D. It's a Wonderful Life,C. It Happened One Night 
Entertainment,Movies,Basic,All,medium,mcq,Lata Mangeshkar made her debut in Hindi playback singing with the movie...?,A. Andaaz ,B. Deewar ,C. Barsaat ,D. Aap ke Sewa Main,D. Aap ke Sewa Main
Entertainment,Movies,Basic,All,hard,mcq,Raima and Riya Sen are the daughters of...?,A. Aparna Sen ,B. Moon Moon Sen ,C. Tansen ,D. Suchitra Sen,B. Moon Moon Sen 
Entertainment,Movies,Basic,All,easy,mcq,With whom is Kajol's marriage fixed in Dilwale Dulhaniya Le Jayenge?,A. Karan Johar ,B. Javed Siddiqui ,C. Parmeet Sethi ,D. Anupam Kher,C. Parmeet Sethi 
Entertainment,Movies,Basic,All,medium,mcq,Who does Salman want to marry in Hum Aapke Hain Kaun?,A. Bhabhi's sister,B. Friend's Sister,C. Mama's daughter ,D. A friend,A. Bhabhi's sister
Entertainment,Movies,Basic,All,hard,mcq,The song 'Aye mere pyaare watan' is from the film...?,A. Upkaar ,B. Sarfarosh ,C. Kabuliwala ,D. Sikandar-E-Azam,C. Kabuliwala 
Entertainment,Movies,Basic,All,easy,mcq,Which was the first film in which Amitabh and Jaya Bachchan worked together?,A. Guddi ,B. Milli ,C. Ek Nazar ,D. None of the Above,A. Guddi 
Entertainment,Movies,Basic,All,medium,mcq,In which year did Amitabh Bachchan debut in Hindi cinema?,A. 1974,B. 1965,C. 1969,D. 1972,D. 1972
Entertainment,Movies,Basic,All,hard,mcq,he name of Madhuri Dixit's character in Beta was...?,A. Madhu ,B. Damodri ,C. Ganga ,D. Saraswati,D. Saraswati
Entertainment,Movies,Basic,All,easy,mcq,"Considering the 20th century, who was the only actor to win the Best Actor award successively for three years?",A. Dilip Kumar ,B. Naseeruddin Shah ,C. Sanjeev Kumar ,D. Amitabh Bachchan,A. Dilip Kumar 
Entertainment,Movies,Basic,All,medium,mcq,"""Mangal Pandey"", ""Rang De Basanti"" and ""Fanaa"" were comeback movies for which of the following actors?",A. Saif Ali Khan ,B. Siddharth ,C. Kunaal Kapoor,D. Aamir Khan,D. Aamir Khan
Entertainment,Movies,Basic,All,hard,mcq,"Which of the following actors appeared in the comedies ""Munnabhai MBBS"", ""Anthony Kaun Hai"", ""Lage Raho Munnabhai"" and ""Golmaal""?",A. Boman Irani ,B. Arshad Warsi ,C. Sanjay Dutt ,D. Jimmy Shergill,B. Arshad Warsi 
Entertainment,Movies,Basic,All,easy,mcq,Who is the only Indian to have won an Oscar for Lifetime achievement in films?,A. V. Shantaram ,B. Raj Kapoor ,C. Subash Ghai ,D. Satyajit Ray,D. Satyajit Ray
Entertainment,Movies,Basic,All,medium,mcq,Who was the hero of Yash Chopra's Noorie?,A.  Farooq Shaikh,B. Sachin,C. Sunny Deol,D.  Ajay Devgan,A.  Farooq Shaikh
Entertainment,Movies,Basic,All,hard,mcq,The theme music in Santosh Sivan's 'Asoka' was composed by...?,A.  Anu Malik,B. Sandeep Chowta  ,C. Ravi Shankar,D.  Ranjeet Barot,B. Sandeep Chowta  
Entertainment,Movies,Basic,All,easy,mcq,What was the name of Madhuri Dixit's dog in Hum Aapke Hain Koun?,A. Toffy,B.  Tommy,C. Tuffy,D. Timmy,C. Tuffy
Entertainment,Movies,Basic,All,medium,mcq,The title role in RK Films' Henna was played by...?,A. Somy Ali,B. Randhir Kapoor,C. Zeba Bakhtiar,D.  Ashwini Bhave,C. Zeba Bakhtiar
Entertainment,Movies,Basic,All,hard,mcq,"Before Akshay Kumar became an actor, he worked as a...?",A. Journalist,B. Waiter,C. Reporter,D. Clerk,B. Waiter
Entertainment,Movies,Basic,All,easy,mcq,Who directed the Rajesh Khanna-Tina Munim starrer Sauten?,A. Shyam Benegal,B.  Saawan Kumar Tak,C. Shakti Samanta,D. Prakash Mehra,B.  Saawan Kumar Tak
Entertainment,Movies,Basic,All,medium,mcq,"In Shekhar Kapur's Masoom, who plays the part of Jugal Hansraj's mother?",A. Shabana Azmi,B.  Tanuja,C. Supriya Pathak,D.  Jaya Bahaduri,C. Supriya Pathak
Entertainment,Movies,Basic,All,hard,mcq,The song Koi ladki hai in Yash Chopra's Dil To Pagal Hai was choreographed by...?,A. Ahmed Khan,B. Shiamak Davar ,C. Ganesh Hegde,D.  Farha Khan,B. Shiamak Davar 
Entertainment,Movies,Basic,All,easy,mcq,"In Ramesh Talwar's Doosra Aadmi, the role of Raakhee's doctor is played by...?",A. Ramesh Talwar,B. Parikshit Sahni ,C.  Navin Nischol,D. Raj Kiran,B. Parikshit Sahni 
Entertainment,Movies,Basic,All,medium,mcq,What is the engagement song in Dosti called?,A. Mahi ve,B.  Dulhaniya dulhaniya,C. Mehendi laga ke rakhna,D.  Yeh Dosti,B.  Dulhaniya dulhaniya
Entertainment,Movies,Basic,All,hard,mcq,Sanjay Dutt's co star in his debut film Rocky was...?,A. Padmini Kolhapure,B. Poonam Dhillon,C.  Tabu,D. Tina Munim,D. Tina Munim
